7:3|39:55,5:68
7:117|26:45,26:52
7:118|11:16
7:121|26:47
7:122|26:48
7:123|20:71,26:49
7:124|20:71,26:49
7:125|26:50
7:126|2:250,5:59
7:127|23:33
7:128|28:82,29:62,34:39
7:129|12:109,28:22,30:9,35:44,40:21,40:82,47:10
7:130|14:37
7:131|10:55,28:13,28:57,39:49,44:39,52:47,6:37,8:34
7:132|11:53
7:133|10:75
7:134|20:65,43:49,5:22,5:24
7:138|10:90
7:139|11:16
7:141|14:6,2:49
7:144|28:20,28:30
7:146|10:23,28:39,40:75,41:15,42:42,46:20,6:25
7:147|27:90,28:84,30:16,34:33
7:148|20:88
7:150|20:86,23:94
7:151|38:35
7:152|2:204
7:153|16:110,16:119
7:155|23:109
7:156|11:60,16:30,28:42,2:201,39:10
7:158|10:104,10:108,10:23,11:14,13:30,20:8,20:98,22:49,22:5,23:116,24:42,25:2,27:16,27:26,28:70,28:88,2:107,2:163,2:255,35:15,35:3,35:5,38:10,39:44,39:6,3:18,3:189,3:2,3:6,40:3,40:62,40:65,42:49,43:85,44:8,45:27,48:14,49:13,4:87,57:2,57:5,59:22,59:23,5:120,5:17,5:18,5:40,61:5,61:6,64:13,6:102,6:106,73:9,85:9,9:116,9:129,9:31
7:160|16:118,16:33,20:81,26:52,26:63,29:40,2:172,2:57,2:60,30:9,9:70
7:161|2:58
7:162|29:34,29:46,2:150,2:59
7:163|21:74
7:164|17:58
7:165|6:44
7:166|2:65
7:167|6:165
7:168|72:11
7:169|12:109,19:59,4:171,6:32
7:170|18:30
7:171|2:63,2:93
7:175|5:27
7:176|21:77,25:36,62:5
7:177|21:77,25:36,62:5
7:178|17:97,18:17
7:179|25:44,41:25,46:18
7:182|68:44
7:183|68:45
7:184|12:104,34:46,36:69,38:87,81:27
7:185|10:6,12:67,14:38,16:48,18:51,27:72,2:107,38:10,43:85,5:120,5:17,5:18,67:9,77:50
7:186|2:15,6:110
7:187|10:101,10:55,11:17,12:21,12:38,12:40,12:68,13:1,16:38,16:52,19:93,20:52,24:64,2:116,2:243,30:26,30:30,30:6,33:63,34:28,34:36,40:57,40:59,40:61,45:26,55:29,6:12,79:42
7:188|10:49,13:16,18:39,26:115,27:87,35:23,39:68,6:128,87:7
7:189|39:6,4:1
7:190|27:63
7:191|16:20,25:3
7:193|18:57
7:194|10:106,10:66,11:101,16:20,19:48,22:12,22:73,35:40,39:38,40:66,46:4,46:5,6:108,6:56
7:196|42:17
7:197|13:14,35:13,40:20
7:198|18:57
7:200|41:36
7:203|12:111,16:64,45:20,6:157
