تقرير المتشابهات التوقعي (سورة البقرة مع كامل المصحف)
========================================================
بتاريخ: ٩‏/٢‏/٢٠٢٦، ١٠:٠٢:٣٨ ص
القواعد المستخدمة:
- الحد الأدنى: 4 كلمات.
- تصفية الكلمات الشائعة (أقل من ٣ كلمات أساسية في الجمل القصيرة).
- السماح باختلاف بسيط (مسافة تعديل <= ٢) في الكلمات.

السورة         | عدد المتشابهات المتوقعة
105 . سُورَةُ الفِيلِ | 2
108 . سُورَةُ الكَوۡثَرِ | 2
109 . سُورَةُ الكَافِرُونَ | 2
110 . سُورَةُ النَّصۡرِ | 2
112 . سُورَةُ الإِخۡلَاصِ | 2
113 . سُورَةُ الفَلَقِ | 2
114 . سُورَةُ النَّاسِ | 2
1   . سُورَةُ ٱلْفَاتِحَةِ | 1
50  . سُورَةُ قٓ      | 1
52  . سُورَةُ الطُّورِ | 1
54  . سُورَةُ القَمَرِ | 1
68  . سُورَةُ القَلَمِ | 1
69  . سُورَةُ الحَاقَّةِ | 1
79  . سُورَةُ النَّازِعَاتِ | 1
80  . سُورَةُ عَبَسَ  | 1
83  . سُورَةُ المُطَفِّفِينَ | 1
86  . سُورَةُ الطَّارِقِ | 1
87  . سُورَةُ الأَعۡلَىٰ | 1
89  . سُورَةُ الفَجۡرِ | 1
91  . سُورَةُ الشَّمۡسِ | 1
92  . سُورَةُ اللَّيۡلِ | 1
93  . سُورَةُ الضُّحَىٰ | 1
96  . سُورَةُ العَلَقِ | 1
100 . سُورَةُ العَادِيَاتِ | 1
101 . سُورَةُ القَارِعَةِ | 1
102 . سُورَةُ التَّكَاثُرِ | 1
104 . سُورَةُ الهُمَزَةِ | 1
106 . سُورَةُ قُرَيۡشٍ | 1
107 . سُورَةُ المَاعُونِ | 1
111 . سُورَةُ المَسَدِ | 1
----------------------------------------
الإجمالي الكلي المتوقع لروابط البقرة: 4463
